ID,lnc_10,lnc_11,lnc_19,lnc_20,lnc_21,lnc_25,lnc_26,lnc_27,lnc_40,lnc_41,lnc_46,lnc_47,lnc_16,lnc_17,lnc_18,lnc_31,lnc_33,lnc_34,lnc_35,lnc_44,lnc_45,lnc_5,lnc_6,lnc_7,lnc_8,lnc_9,lnc_13,lnc_14,lnc_15,lnc_23,lnc_24,lnc_28,lnc_29,lnc_30,lnc_36,lnc_37,lnc_38,lnc_39
LINC-A2M-1,0.000168056,0.00018591,0.000167999,0.000179725,0.000130506,6.90E-05,0.000215121,0.000222404,4.01E-05,0.000203297,0.000219806,0.000158648,0.000373217,0.000444284,0.000561903,0.000109735,0.000222052,6.00E-05,0.000373568,4.51E-05,1.04E-05,1.70E-05,0.000461801,0.000465139,0.001517317,0.000278892,9.63E-05,0.00012001,6.25E-05,0.000154403,0.00042309,0.000215238,0.00032514,0.000221461,0.000193672,0.000180124,0.000333895,0.00141489
LINC-A4GALT-2,8.27E-05,6.86E-05,0.000104423,5.71E-05,0.00012839,8.09E-05,6.51E-05,0.000344786,6.26E-05,0,7.26E-05,7.70E-05,0.000103601,0.000202471,0.000184427,3.70E-05,1.99E-05,0.0001084,0.000175661,4.31E-05,3.61E-05,0,0.00016895,0.000156715,0.000413004,3.43E-05,6.98E-05,0.000164931,0,2.14E-05,0.000139272,0.000110498,6.26E-05,0.000113107,0.000123174,0,6.20E-05,9.81E-05
LINC-AACS-6,0.000148884,0.000102872,6.49E-05,0.000144195,3.53E-05,2.60E-05,7.31E-05,5.74E-05,3.49E-05,2.98E-05,0.000106,5.39E-05,0.000220471,0.000112791,0.000183236,3.89E-05,0.000161127,2.36E-05,0.000147231,2.53E-05,2.98E-06,1.60E-05,0.000175524,0.00018379,5.75E-05,6.33E-05,3.98E-05,0.000148623,5.20E-05,1.50E-05,0.000170892,4.30E-05,0.000121775,0.00017146,5.15E-05,6.68E-05,4.98E-05,0.000128576
LINC-AADAT-9,9.93E-05,5.37E-05,6.08E-05,8.20E-05,2.44E-05,9.67E-06,0.000111584,0.000244929,3.11E-05,4.57E-05,5.23E-05,7.87E-05,0.000163382,0.000104428,0.00020108,3.61E-05,4.94E-05,2.98E-05,0.000201852,3.33E-05,7.00E-05,0,0.000200625,0.000153597,0.000849406,0.000262515,5.55E-05,0.000553208,4.00E-05,5.39E-05,7.23E-05,2.99E-05,1.92E-05,7.60E-05,1.20E-05,0,0,5.31E-05
LINC-AARSD1-2,0.000101047,0.000167173,2.20E-05,5.40E-05,4.60E-05,3.04E-05,5.10E-05,0.000164413,1.38E-05,6.47E-05,8.72E-05,1.89E-05,7.52E-05,5.89E-05,0.000169562,3.74E-05,0.000177334,6.88E-06,2.56E-05,1.61E-05,0,1.31E-05,0.000171499,0.000185556,0.000152694,0.000296794,8.77E-05,0.00026072,0.000201227,2.47E-05,0,1.59E-05,5.18E-05,0,6.51E-05,2.64E-05,7.22E-05,0.000116824
LINC-ABAT-1,5.93E-05,0.000149753,9.63E-05,4.91E-05,3.85E-05,1.22E-05,6.04E-05,0.000126125,6.50E-05,2.76E-05,6.17E-05,0.000114142,0.000226628,8.54E-05,0.000104113,2.54E-05,6.07E-05,3.14E-05,0.000122996,2.48E-05,2.05E-05,1.28E-05,0.000163286,0.00012485,0.000259887,4.23E-05,6.41E-05,0.000237345,6.13E-05,4.61E-05,0.000110063,4.68E-05,5.99E-05,8.60E-05,7.74E-05,1.24E-05,5.79E-05,0.000108005
LINC-ABCG1-1,0.000116271,7.57E-05,5.83E-05,7.26E-05,3.87E-05,4.35E-05,7.71E-05,0.00019308,3.03E-05,6.18E-05,4.36E-05,4.17E-05,0.000122443,7.89E-05,0.000164953,4.53E-05,7.40E-05,1.73E-05,0.00011414,1.21E-05,1.41E-05,1.89E-05,0.000241695,0.000134347,0.000103194,0.000137267,9.52E-06,0.000122323,0.000107381,2.59E-05,0.000116645,9.78E-05,0.000105688,0.00012911,6.80E-05,6.47E-05,7.91E-06,6.57E-05
LINC-ABCG1-2,0.00018297,0,6.01E-05,2.39E-05,1.20E-05,8.82E-06,6.94E-05,4.80E-05,8.90E-05,0.000109967,0.000146427,3.13E-05,0.000137613,9.82E-05,0.000185203,1.46E-05,0,4.82E-05,4.27E-05,6.80E-06,0,0,0.000215892,0.00023037,0.000229235,8.00E-05,0,9.44E-05,0,8.44E-06,0.000182682,0.000111041,0.000126779,0,5.77E-05,0,0,2.85E-05
LINC-ABHD11-3,7.70E-05,7.79E-05,5.68E-05,0,5.23E-05,8.90E-05,8.00E-05,5.82E-05,5.52E-05,0,0,3.89E-05,0.00023095,0.000115956,5.77E-05,7.04E-05,9.89E-05,0,0.000160358,1.27E-05,0,0,0,0.000145734,0.000367093,0.000146339,0,0.000280749,2.67E-06,2.67E-05,0.00025906,7.04E-05,0,0.000207556,0,5.21E-05,3.79E-05,0
LINC-ABHD17A-1,0.000201667,0.000167262,0.000134854,0.000274758,6.26E-05,5.22E-05,0.000115025,0.000221015,4.84E-05,0.000130741,9.22E-05,0.000196648,0.00017755,0.000172143,0.000303344,0.000115486,0.000173941,4.06E-05,0.000362957,5.52E-05,2.41E-05,2.67E-05,0.000264709,0.000259947,0.000274766,0.000279221,6.56E-05,0.000189887,0.000169356,6.01E-05,0.000223602,0.000271145,0.000316299,0.000163333,5.88E-05,8.12E-05,9.55E-05,0.000783659
LINC-ABHD2-2,8.88E-05,3.56E-05,3.20E-05,6.64E-05,2.78E-05,1.74E-05,3.64E-05,0.000143675,1.41E-05,3.97E-05,3.11E-05,2.39E-05,5.66E-05,3.87E-05,0.000124627,2.25E-05,0.000209854,1.36E-05,9.76E-05,1.65E-05,0,3.76E-06,4.27E-05,5.56E-05,9.02E-05,0.000102522,6.87E-05,8.22E-05,0.000117435,1.66E-05,9.74E-05,3.86E-05,6.34E-05,4.90E-05,4.99E-05,2.58E-05,3.66E-05,0.000112347
LINC-ABLIM1-1,0.00019127,0.000114767,5.55E-05,7.66E-05,4.49E-05,6.59E-05,0.000115622,0.000276602,2.49E-05,4.98E-05,0.000145822,4.26E-05,0.000254809,0.000137997,0.000189054,5.81E-05,0.000128525,2.20E-05,0.000195057,7.60E-06,1.09E-05,2.27E-05,8.51E-05,9.11E-05,0.000163883,0.000102481,8.74E-06,0.000172213,0.000102884,4.00E-05,9.79E-05,4.56E-05,0.000135826,8.30E-05,5.66E-05,4.34E-05,3.28E-05,7.55E-05
LINC-ABTB1-1,0.000101133,5.62E-05,9.39E-05,0.000167118,6.23E-05,3.22E-05,0.000125599,0.000156355,1.91E-05,3.91E-05,8.32E-05,6.71E-05,0.000162667,0.000106021,0.000125235,5.81E-05,0.000180695,2.64E-05,0.000169187,1.82E-05,0,2.33E-05,0.000154889,6.62E-05,0.000230197,8.92E-05,5.73E-05,0.000152326,8.28E-05,3.01E-05,8.28E-05,0.000110134,8.98E-05,4.99E-05,4.98E-05,3.38E-05,7.17E-05,0.000290717
LINC-AC004922.1-1,4.62E-05,5.70E-05,2.42E-05,3.20E-05,2.72E-05,1.87E-05,4.25E-05,0.000226039,2.09E-05,0.000109059,4.59E-05,4.07E-05,8.75E-05,6.76E-05,6.56E-05,2.20E-05,5.82E-05,4.89E-06,0.000101077,1.18E-05,1.48E-05,0,0.000130545,3.96E-05,0.00017381,0.000132735,7.11E-05,0.000160489,2.95E-05,2.79E-05,0.000117894,5.27E-05,8.43E-05,6.45E-05,0.000124485,5.51E-05,4.11E-05,0.000109329
LINC-AC004922.1-3,0.000116387,0.000146301,4.28E-05,0.000136444,0.000103079,4.57E-05,1.74E-05,0.000183995,4.86E-05,0.000158136,0,1.50E-05,0,0,0.000177032,0,0,1.15E-05,0.000260851,3.90E-05,0,0,0.000257713,0,0.0002743,0.000147781,0,0.000541599,7.03E-05,3.23E-05,0.000232246,2.66E-05,0,0,5.52E-05,0,5.85E-05,0.000191048
